filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	date
EPH-PT-1-99-001.jpg	326	193	86.1451	15	34.3665	51	68.835	1985.00
EPH-PT-1-99-002.jpg	327	203	84.582	13	34.643	51	68.9511	1985.00
EPH-PT-2-1-002.jpg	329	191	77.5148	32	31.9773	154	53.9459	1985.00
EPH-PT-2-10-002.jpg	331	193	79.5931	10	48.5126	42	87.7088	1985.00
EPH-PT-2-100-002.jpg	333	114	64.8043	70	48.4044	30	74.2356	1985.00
EPH-PT-2-101-002.jpg	335	137	64.0426	65	43.5634	36	68.4125	1985.00
EPH-PT-2-102-002.jpg	337	156	71.7706	24	45.9472	113	83.6807	1985.00
EPH-PT-2-103-002.jpg	339	126	68.5447	40	49.1574	36	70.984	1985.00
EPH-PT-2-104-002.jpg	341	99	65.1424	48	33.7259	42	71.1645	1985.00
EPH-PT-2-105-002.jpg	343	97	64.3439	50	33.9672	42	71.4986	1986.00
EPH-PT-2-106-002.jpg	345	110	65.2822	32	37.5476	155	82.9545	1986.00
EPH-PT-2-107-002.jpg	347	147	65.6775	68	44.9699	25	73.7843	1986.00
EPH-PT-2-108-002.jpg	349	145	65.3155	72	45.2602	25	72.8628	1986.00
EPH-PT-2-109-002.jpg	351	87	70.1676	43	48.9554	28	84.7002	1986.00
EPH-PT-2-11-002.jpg	353	195	79.4433	9	50.3568	49	88.7409	1986.00
EPH-PT-2-110-002.jpg	355	89	65.6986	41	38.384	30	86.3704	1986.00
EPH-PT-2-111-002.jpg	357	82	72.0292	51	47.5241	29	71.2887	1986.00
EPH-PT-2-112-002.jpg	359	161	78.5464	36	47.6738	137	79.4616	1986.00
EPH-PT-2-113-002.jpg	361	170	72.9312	32	57.9989	42	80.7576	1986.00
EPH-PT-2-114-002.jpg	363	176	75.6034	30	35.6814	70	68.8737	1986.00
EPH-PT-2-115-002.jpg	365	180	71.5577	32	54.7604	122	80.3835	1986.00
EPH-PT-2-116-002.jpg	367	169	71.5574	60	63.4218	31	89.2479	1986.00
EPH-PT-2-117-002.jpg	369	125	73.1389	37	54.7802	49	83.3685	1986.00
EPH-PT-2-118-002.jpg	371	65	74.015	27	43.984	135	75.9682	1986.00
EPH-PT-2-119-002.jpg	373	109	70.7324	33	54.6194	42	92.4626	1986.00
EPH-PT-2-12-002.jpg	375	199	79.884	10	50.5347	42	89.6244	1986.00
EPH-PT-2-120-002.jpg	377	83	69.6661	29	42.1314	155	85.2797	1993.00
EPH-PT-2-121-002.jpg	379	170	66.701	36	70.3059	149	85.6686	2006.00
